ID	 TEXT	 HUMOR	 MISTRUST/MISINFORMATION	RELIEF/DOWNPLAY	 CONCERN	
5716d911d3d9350dfe1bcccc	"#Zika as previously discussed, is relatively stable. We must take fomites and human -&gt; human transmission seriously. https://t.co/9nmXA8SeXQ"	0+C42C2:C42	0	0	1	 
5716d850d3d9350dfe1bcc37	@supersofia12342 I hope you contract the Zika virus!!!	0	0	0	0	 
5716da93d3d9350dfe1bcd3d	SHIPSAN Act have published interim guidance on the Zika virus. https://t.co/VKFxtVPUzW	0	0	0	1	 
5716dfe9d3d9350dfe1bcef9	For traveling to mosquito infested areas or Zika problematic areas. #mosquito #travel #travelblogger https://t.co/ArAtmW7Tb8	0	0	0	1	 
5716d86bd3d9350dfe1bcc80	https://t.co/Mw6D7NnLci Retweeted https://t.co/qQrBQNJ37b	0	0	0	0	 
5716e014d3d9350dfe1bcf0b	#Zika Can Cause Guillain-Barré Syndrome. Evidences provided https://t.co/Uyw924KK4w #globalhealth	1	0	0	0	 
5716d857d3d9350dfe1bcc4f	@DonaldTrumpLA Because @ravensymone Knows #Mexicans Will Get her Drunk Rob &amp; Rape the Heck out of her &amp; Give her Zika!!! LOL #TheView	0	0	0	1	 
5716d857d3d9350dfe1bcc4e	Zika shouldn't stop travel in continental US: NIH https://t.co/TqYs9x73fd https://t.co/9UrmBmasTK	0	0	0	1	 
5716c684d3d9350dfe1bc5f2	Zika may bring a wave of mental health problems in future years - https://t.co/uEjHan4DaD	0	0	0	1	 
5716d84cd3d9350dfe1bcc03	+1 Disponible texto completo #Microcephaly and #Zika virus: neonatal neuroradiological aspects | SpringerLink https://t.co/vuaxz7qQus	0	0	0	0	 
5716d851d3d9350dfe1bcc39	And lets not forget to keep the word 'manmade' in mind. What the fuck is a Zika ? What happened to ebola? 😴	0	1	1	0	 
5716deafd3d9350dfe1bce6c	https://t.co/esCPcOwGkD Retweeted https://t.co/64GYWG0W1m	0	0	0	0	 
