ID	 TEXT	 HUMOR	 MISINFORMATION	 DOWNPLAY	 CONCERN
5701ae9074fece62420e22cf	|State health officials urged to get ready now for Zika in US || WSET https://t.co/PhYslo59xV|	0	0	0	1
5701ae9374fece62420e22d6	@Jay__Elliott be careful of zika virus 😰	0	0	0	1
5701aec474fece62420e22e3	Reading chosen as target city by state to monitor for Zika virus - Reading Eagle: Reading… https://t.co/z6KIcz4lb3	0	0	0	0
5701aec374fece62420e22e2	Health agencies reach scientific consensus on Zika as cause for disorders #Zika. https://t.co/NUMbPPrdQ3	0	0	0	0
5701aec574fece62420e22e4	BANGORDAILYNEWS: As mosquito season arrives, is the US ready for Zika? -- Nation -- BangorDaily, https://t.co/18h4jBEPvL	0	0	0	1
5701aec874fece62420e22e6	#CDC says to delay #pregnancy if exposed to #Zika https://t.co/iCdzSEFogA	0	0	0	1
5701aec374fece62420e22e1	If you missed incognito's Howard Carter, bite prevention expert on #BBC talking about #Zika https://t.co/zq7eXDcngy https://t.co/XHMNDBAGxy	0	0	0	0
5701af6974fece62420e2304	#DataReporting Cuba, Puerto Rico and Zika: This health menace comes at the worst possible ti... https://t.co/iVVPHFJwM1 #PopulationHealth	0	0	0	1
5701afac74fece62420e2311	|★ Personal Essay of the Week—Love in the time of Zika, by @_Andrew_Jenner_ || @washingtonpost https://t.co/FamGWzCM5M https://t.co/zwU5WGW9w0|	0	0	0	0
5701ae8674fece62420e22cc	One-Third Of Americans Think Zika Can Spread Through Coughing, Survey Sa.. Related Articles: https://t.co/rCAScpsLoZ	0	0	0	0
5701afd474fece62420e231c	American tests positive for Zika virus after Philippine trip https://t.co/5cL8H8JaEg #UE4 #STEAM #GIVEAWAY #unity3d #gamedev #indiedev	0	0	0	0
5701afdd74fece62420e231e	Hannah: zika virus is a virus in South America that's now in Florida Me: AFRICANS STOP COMING HERE Hannah: South Americans you racist fuck	1	0	0	0
5701aff174fece62420e2326	@SGZip42 @CNN ....................they will......this will spread as fast as Ebola &amp; Zika	0	0	0	1
5701b00074fece62420e2327	Reading chosen as target city by state to monitor for Zika virus. https://t.co/dicdGTFahG https://t.co/SGs4fNBrgQ	0	0	0	0
5701b04d74fece62420e2334	Scientists in the United States say a vaccine against the Zika virus could be ready for human trials within six months.	0	0	0	0
5701af4874fece62420e22fd	#jobs #jobsearch # #White House: Money isn't there to fight the Zika virus: #Strategies to fight ... https://t.co/GQLZMmtBN0	0	0	0	0
5701afea74fece62420e2323	Structure Of Zika Virus Determined.. Related Articles: https://t.co/D454w8IZ0H	0	0	0	0
5701b02574fece62420e232c	Zika infections decline in parts of Latin America https://t.co/Zh5GaOqVBi #NewslyTweet	0	0	0	0
5701b0df74fece62420e234d	|Zika's Spread Across The U.S. May Change The Narrative Around Abortion || ThinkProgress - https://t.co/anpMzvkNUk https://t.co/NadNthcnuK|	0	0	0	0
5701b0f074fece62420e2352	#Zika News: Zika could spread to 50 United States cities https://t.co/eI5OXIh6SU #PathogenPosse	0	0	0	0
5701b06974fece62420e2337	Zika infections decline in parts of Latin America https://t.co/qAw6LTytGc ^Independent	0	0	0	0
5701b07974fece62420e233a	What you need to know about #ZikaVirus #ジカ熱 https://t.co/kEQ53Sjqjx	0	0	0	0
5701b0b674fece62420e2344	Reading chosen as target city by state to monitor for Zika virus - Reading Eagle https://t.co/i57XTlxqbk https://t.co/4tPLYYK01s	0	0	0	0
5701b0e774fece62420e234f	Flavivirus news: Zika infections decline in parts of Latin America - The Independent: The Indep... https://t.co/OkYRJYKLsy #pathogenposse	0	0	0	0
5701b18374fece62420e236d	Reading chosen as target city by state to monitor for Zika virus - Reading Eagle https://t.co/JvtqGto0oQ #google #health	0	0	0	0
5701b0fb74fece62420e2355	Is Zika and Microcephaly connected? https://t.co/laF8YGf1Tv via @richardlittlej4	0	0	0	0
5701b15574fece62420e2360	U.S. study may point the way on how to beat the Zika virus.. Related Articles: https://t.co/ELo9wX8Vd8	0	0	0	0
5701b24174fece62420e2392	Reading chosen as target city by state to monitor for Zika virus - Reading Eagle: Reading EagleReading chosen ... https://t.co/Q8qJ3QKeb0	0	0	0	0
5701b1f874fece62420e2388	@NotKennyRogers I think I'd take a case of the Zika virus over watching the ACM's. #thingsidratherdothanwatchtheacms	1	0	1	0
5701b46874fece62420e23df	📷 neuromorphogenesis: Monstrous beauty: This is what the Zika virus looks like close up – probably HARD... https://t.co/Dp2MhPGsGJ	0	0	0	0
5701b4a174fece62420e23ea	If you want someone to close the borders to protect our children from drugs diseases from ILLEGALS (AKA ZIKA virus), then TRUMP IS YOUR MAN!	0	1	0	0
5701b32d74fece62420e23af	@cnnbrk does the zika virus come with the ticket?	1	0	0	0
5701b4a974fece62420e23ec	A good review paper on Zika virus on Clinical Microbiology Review. Open access. Link below:... https://t.co/WrhcLnIYdh	0	0	0	0
5701b4de74fece62420e23f1	Miami fights zika with skeleton crew of 17 #news #market #business https://t.co/AOZxrcvCgN https://t.co/h9cCrNJ1PD	0	0	0	0
5701b58374fece62420e2408	Cuba, Puerto Rico and Zika: El Salvador, with a little over half the population of Cuba, suffered nearly 50,00... https://t.co/FVJ9Pb9c6n	0	0	0	0
5701b4f774fece62420e23f3	Zika infections decline in parts of Latin America - The Independent https://t.co/Cm3vxJIULP #zikavirus #zikv	0	0	0	0
5701b2e374fece62420e23a3	Reading chosen as target city by state to monitor for Zika virus - Reading Eagle via https://t.co/PGAhkJKopT #health	0	0	0	0
5701b5bb74fece62420e2417	Alcohol use during pregnancy causes more brain damage and microcephaly than the Zika virus. https://t.co/ZsvD7wYSLH	0	0	1	0
5701b5ca74fece62420e2419	Zika May Increase Risk of Mental Illness, Researchers Say “ - https://t.co/X1EleP53cl	0	0	0	1
5701b5e274fece62420e241c	All it needs is goldfish, and kids eating Ample Hills ice cream watching the fish. #crownheights #prospectheights https://t.co/RiKBrFfnel	0	0	0	0
5701b55574fece62420e2403	European CDC published an interim guidance for healthcare providers and Zika virus laboratory diagnosis:... https://t.co/ozrYBq7mZN	0	0	0	0
5701b60374fece62420e2421	Miami fights Zika with skeleton crew of 17 https://t.co/z1F1dDRJ1l	0	0	0	0
