ID	 TEXT	 HUMOR	 MISINFORMATION	 DOWNPLAY	 CONCERN
5709979174fece14e93e7b8f	Can mobile tech innovation help contain Zika? https://t.co/wVBXsA9uex	0	0	0	0
570997b574fece14e93e7b95	@ShoqRPLARP @Pazzjurist I'm in Los Angeles and am Zika free	1	0	0	0
570997df74fece14e93e7b9d	CDC Urges Mosquitos to Wear Tiny Condoms to Fight Zika Virus https://t.co/SatwxWcvbm https://t.co/2KtkY1mkeP	1	0	0	0
5709981c74fece14e93e7ba4	Third case of Zika reported in Mississippi: As Ebola flare-ups continue in West Africa, the U.S... https://t.co/WBzf0oS7LT	0	0	0	1
5709983d74fece14e93e7ba7	#KenyaMedicalNews American Samoans reminded of Zika outbreak as Flag Day nears - The Daily Chappaqu... https://t.co/vwstQEyJJq #AfyaKenya	0	0	0	0
570998b974fece14e93e7baf	Have you seen this Zika vector genome chart? Here's how to read it: https://t.co/hJQMH2AUYU By @ChristiansenJen https://t.co/4TozyqHyzs	0	0	0	0
5709983374fece14e93e7ba5	@Gizmodo is not Zika is Monsanto pesticide that causes birth defects	0	1	0	0
5709978274fece14e93e7b89	Zika Virus Symptoms, Babies At Risk, Treatment, And Prevention During Pregnancy https://t.co/7KNmclbtgk	0	0	0	0
5709992e74fece14e93e7bc6	sciam: Have you seen this Zika vector genome chart? Here's how to read it: https://t.co/dze9bCnx3V By Christians… https://t.co/UldGFIV6BZ	0	0	0	0
570998b274fece14e93e7bac	BRN - Swine flu adds to Zika problem in Brazil: Since late 2015 Brazil has been at the epicenter of the Zika virus… https://t.co/F10ul3lVly	0	0	0	0
570997aa74fece14e93e7b93	Can mobile tech innovation help contain Zika? https://t.co/wVBXsA9uex https://t.co/zFwtIEzB9I	0	0	0	0
5709995374fece14e93e7bd2	Highest concentration of Zika 'found in the TESTICLES, adding to evidence the virus can be... https://t.co/wBcjjEQ8lj via @MailOnline	0	0	0	0
570998e174fece14e93e7bb6	sciam: Have you seen this Zika vector genome chart? Here's how to read it: https://t.co/eaJspTNNzW By Christianse… https://t.co/tpeEmNAMz2	0	0	0	0
5709993874fece14e93e7bca	The White House Is Redirecting $598 Million From The Fight Against Ebola To Combat Zika https://t.co/lbqPBvHyjy	0	0	1	0
5709994074fece14e93e7bcb	White House Taps Ebola Funds To Temporarily Stave Off Zika - https://t.co/ODZVe6QrUo #ebola	0	0	1	0
5709994174fece14e93e7bcc	Third case of Zika reported in Mississippi - https://t.co/iKF7Vb0QTf #ebola	0	0	0	1
57099a1874fece14e93e7bf7	Confused by the #Zika virus? @voxdotcom has this explainer on what we know so far https://t.co/JjCI4XbQTD	0	0	0	0
57099a8674fece14e93e7c00	How am I suppose to go stargazing when all of Satan's mosquitos are trying to get me with that Zika virus	1	0	0	0
57099a7374fece14e93e7bff	Zika outbreak: where is the virus spreading? #news #tech #science https://t.co/vYnUOBnpq2 https://t.co/CHYxnlUwg2	0	0	0	0
57099aaa74fece14e93e7c07	Tachi Yamada - I think #Zika is the worst, scariest, stealth infection I have ever come across. #CUGH2016 @CUGHnews	0	0	0	1
5709995174fece14e93e7bd0	Spread of the pandemic Zika virus lineage is associated with NS1 codon usage adaptation in humans https://t.co/wbpMEIQINv	0	0	0	0
57099a2674fece14e93e7bf8	And we have some Olympics to win! Since America is scared of catching ZIKA https://t.co/YCiMefWbxs	0	0	0	0
570999af74fece14e93e7bdf	A stern and well-informed warning about #zika from my former home of #Houston: https://t.co/xsEnxXPPI9	0	0	0	1
570999b874fece14e93e7be4	TUESDAY - Zika Virus and Pregnancy: The latest from the Zika Summit Guest Dr. Edward McCabe @MarchOfDimes @CDCGov https://t.co/leLpFbLdOP…	0	0	0	0
57099a9274fece14e93e7c03	Canadian researcher’s mosquito trap offers hope in fight against Zika spread: Globe and Mail https://t.co/5LnTcz82UU #rainforest	0	0	1	0
570999d574fece14e93e7bea	US Lawmakers Warned Against Short-Changing Ebola to Fight Zika https://t.co/W8KwhkGvOq	0	0	0	0
57099b9274fece14e93e7c27	D.C. Week: FDA Warns on Diabetes Drugs, White House Shifts Ebola $$ to Zika https://t.co/jT2BR8OQhm	0	0	1	0
57099abd74fece14e93e7c0a	Tachi Yamada: Zika is scariest infection I've ever heard of. #CUGH2016	0	0	0	1
57099aca74fece14e93e7c0c	"Puerto Rico Braces for Its Own Zika Epidemic" by DONALD G. McNEIL Jr. via NYT Health https://t.co/mWRkoHNcwB #health	0	0	0	1
57099b2c74fece14e93e7c1a	The structure of the Zika Virus based on EM reconstruction by Devika Sirohi et al https://t.co/og64B90sNp #scistyle https://t.co/0kBJ5AREuS	0	0	0	0
57099b8a74fece14e93e7c23	Noviplex device will diagnose and track Zika in the Amazon - https://t.co/Iu4S2HCJ9w	0	0	0	0
57099b8e74fece14e93e7c24	An Illustrated Guide To The Zika Outbreak https://t.co/yriLFWTVk3 https://t.co/MOb03Mx1Cd	0	0	0	0
57099b7474fece14e93e7c21	Americans who might have been exposed to Zika and are trying to get pregnant should know these new government guidelines	0	0	0	0
57099c2874fece14e93e7c7a	This mosquito egg trap made from old tyres could help stop Zika #dengue #ZikaVirus #via https://t.co/XUTWoEdPRt https://t.co/C5scyvfxjK	0	0	1	0
57099c3b74fece14e93e7c7e	#Zika impacts ppl in #extremepoverty in a worse manner leading to further financial insecurity &amp; further marginalization @PeterHotez #CUGH16	0	0	0	1
570999b374fece14e93e7be2	Obama Administration to Transfer Ebola Funds to Zika Fight https://t.co/Z7yFOBrAc5	0	0	1	0
57099caa74fece14e93e7c94	Regulatory hurdles for #Zika virus are high: target population is pregnant women but that's the highest risk group to test vaccine #CUGH16	0	0	0	1
57099cac74fece14e93e7c95	#diabetes #type2 Morning Rounds: Investing in Zika fight, rise in diabetes - CBS News https://t.co/gpFujk5RUU	0	0	0	0
57099c2774fece14e93e7c79	CDC Urges Mosquitos to Wear Tiny Condoms to Fight Zika Virus https://t.co/g3Fgom1jjt #nursing https://t.co/6X5Kbhdziy	1	0	0	0
57099cb874fece14e93e7c99	WHO: Zika causes microcephaly, Guillain-Barre Syndrome @CNN https://t.co/YxKUu2KPrR	0	0	0	0
57099c4174fece14e93e7c80	CDC Urges Mosquitos to Wear Tiny Condoms to Fight Zika Virus https://t.co/m9rDlrONq5 #doctors https://t.co/9x00S3N9Lq	1	0	0	0
57099c4174fece14e93e7c82	$600 was just too much. https://t.co/RE5eubrW1J	0	0	0	0
57099bc174fece14e93e7c6a	This mosquito egg trap made from old tyres could help stop Zika https://t.co/aZkDbkpD5b	0	0	1	0
57099c7c74fece14e93e7c8d	@PeterHotez - I think we're looking at a humanitarian tragedy unfolding with #Zika virus in #Haiti over the next few months. #CUGH2016	0	0	0	1
57099be674fece14e93e7c72	Gap in scientific knowledge about Zika but 80% ppl zika infections asymptomatic #goodnews but outcome worse in poverty #badnews-@PeterHotez	0	0	1	1
57099bf274fece14e93e7c73	News: Preparing for possible Zika virus outbreak - https://t.co/XUMTJA6XZa https://t.co/LuNIuq2ZQ1	0	0	0	1
57099c2a74fece14e93e7c7c	Noviplex Device Will Diagnose And Track Zika In The Amazon https://t.co/IwDlQZs55W	0	0	0	0
57099c3374fece14e93e7c7d	#Dental #Clinic #News Application of novel alignment-free sequence descriptors in Zika virus characterization https://t.co/t5ycSTER4G	0	0	0	0
57099cbe74fece14e93e7c9c	Obama Admin Will Use $510 Million in Ebola Funding to Fight Zika - https://t.co/N4CQPgNge9 #ebola	0	0	1	0
57099c6974fece14e93e7c88	Trap developed for mosquito that transmits Zika Science Daily Date: April 6, 2016; Source: Entomological Society of… https://t.co/QsQqqC4rEw	0	0	0	0
57099ccc74fece14e93e7c9d	@PeterHotez - We simply aren't equipped to develop a #Zika #vaccine before the damage is done. #CUGH2016 https://t.co/tFl89gza8y	0	0	0	1
57099d1974fece14e93e7ca4	Zika Is Coming https://t.co/qjIUQIVaRc	0	0	0	0
57099d3274fece14e93e7ca8	The Latest: Zika case detected in Danish traveler https://t.co/QFwHdWT2l2 #startups #trending #Fashion #trump	0	0	0	1
