ID	 TEXT	 HUMOR/SARCASM	MISTRUST/ MISINFORMATION	 RELIEF/DOWNPLAY	 CONCERN	
57183175d3d9353ec3529f43	#health #Zika - Does the CDC Really Need More Dough to Fight Zika? https://t.co/uGOG6RB2DO	0	1	0	0	 
57181c67d3d9353ec35296fb	@washingtonpost shares @openscience concepts to combat #ZikaVirus https://t.co/WdMx7YLg7s	0	0	1	0	 
57181cc0d3d9353ec3529722	Senate GOP shoots for quick action on Zika funding bill - Washington Post https://t.co/gGKyjiyBlW #health	0	0	0	0	 
57182abcd3d9353ec3529cb5	"Gee, thanks for preparing to relent. https://t.co/f7gxlmhLmw"	0	0	0	0	 
571826add3d9353ec3529b7d	EWG's Guide to Bug Repellents in the Age of Zika | EWG https://t.co/7nhEBpcRLO	0	0	0	0	 
57181a0bd3d9353ec352960a	When a mosquito lands on your face... It's time for bug spray or the good ole indoors.. Team no Zika.	0	0	0	1	 
57182e81d3d9353ec3529e5c	"@KailiJoy GOP lead/environment poisoning 'accident' only goes so far, in terms of plausible deniability. GOP only has to screw US w/ Zika 1x"	0	0	0	0	 
5718334cd3d9353ec3529ff5	"MAKE THOSE WHO FORCLOSED ON HOMES WITH POOLS&amp;STANDING WATER TAKE CARE TO KEEP THEM RESISTANT TO ALL DANGERS,SAFE https://t.co/lMmk4F1Vmg"	0	0	0	1	 
57183284d3d9353ec3529f9e	also India need this billboard... https://t.co/KAsLP8eqin	0	0	0	1	 
57182a4fd3d9353ec3529c8f	Infectious diseases #Zika #Ebola know no borders. @GHTCoalition report highlights R&amp;D role in #globalhealth security https://t.co/wAm5hUTLhv	0	0	0	1	 
57182ebdd3d9353ec3529e7a	#Zika #virus: NEW findings free. = Admission #copyright failed? https://t.co/BELIJi4WbN #WHO #health https://t.co/8ch8Amsq4r	0	0	0	0	 
571826dcd3d9353ec3529b8b	"Zika testing to be done in San Antonio, cutting out trip to Atlanta and speeding up results from weeks to days https://t.co/0VD8C0nPhn"	0	0	1	0	 
57181f8cd3d9353ec3529853	Mapping global environmental suitability for #Zika virus @eLife https://t.co/c6Ikb1DSvO	0	0	0	0	 
57182e59d3d9353ec3529e4d	India among regions ideal for Zika outbreak https://t.co/ps01EJUafP https://t.co/70ACNjz5iC	0	0	0	1	 
57182427d3d9353ec3529aa6	sweaty' billboard kills mosquitoes to fight zika virus #news #tech #science https://t.co/rSwC8lqNwb https://t.co/0Nmuz9bzFm	0	0	1	0	 
5718343dd3d9353ec352a05d	"Yes and they want have ""Restrictor plates! https://t.co/woqPmV9ugA"	0	0	0	0	 
57181b91d3d9353ec35296a0	@WhiteHouse @POTUS @FLOTUS @CDCgov @CDCGlobal @DrFriedenCDC @nbc @ABCNetwork #Zika WITH #SWATTERS #SKEETER METERS #OFF AND #FLIPFLOPS	0	0	0	0	 
57182f9ed3d9353ec3529ebd	"Did you know? Zika virus just like ebola were designed to eliminate a certain number of black people, population control"	0	1	0	0	 
57181d14d3d9353ec352974f	Still many questions about Zika’s threat to pregnant women https://t.co/oZqE7mi8Pl	0	0	0	1	 
57182a5ad3d9353ec3529c93	This is brilliant! https://t.co/NLMGdRrDcZ #outdooradvertising @APNOutdoorNZ	0	0	0	0	 
57182802d3d9353ec3529bf1	"That's normally. What about when #Zika virus, is rampant? https://t.co/8VibimsPsr"	0	0	0	1	 
57181bcfd3d9353ec35296bf	"CDC: 197 of 4,534 travelers tested positive for Zika https://t.co/SgCaVHgx7G"	0	0	0	1	 
57183332d3d9353ec3529fe9	@filiamd The consequences to babies affected by mutant Zika+ virus triggered severe Microcephaly are catastrophic.	0	0	0	1	 
57183283d3d9353ec3529f9c	#ZIKA They prey on scientifically illiterate politicians and investors to secure funding for a dead end research project.	0	0	1	0	 
57181fa2d3d9353ec3529863	"The only surprise here is it appeared in Forbes, usually among the most reliable right-wing trumpets. https://t.co/uhd1dw04ZU"	0	0	0	0	 
57182e7fd3d9353ec3529e58	"@bgittleson He should have answered, ""Vote me [Kasich] and my party out of office. We're deadly idiots. Then toast."" https://t.co/Mc9nYKP8c1"	0	0	0	0	 
57182f33d3d9353ec3529e9b	'Sweaty' Brazilian billboards are giant Zika traps: https://t.co/GFu907pXa6	0	0	1	0	 
57182131d3d9353ec35299c2	Expert: Local mosquito breeds can’t carry Zika https://t.co/0dR8gqlqYM https://t.co/Wwmf0rYgrQ	0	0	0	1	 
57183173d3d9353ec3529f42	TopWords(3hrs) 1:areas from 2:in at 3:browser 4:Zika Virus 5:2 billion 6:filter 7:Google 8:Designs 9:students https://t.co/AW8g6SfaB0	0	0	0	0	 
571820e9d3d9353ec35299ac	Joining Forces in the Fight Against Zika https://t.co/uoh1ZfUUZz	0	0	1	0	 
571826abd3d9353ec3529b7c	Preparing for Zika Virus as Mosquito Season Looms https://t.co/OeFaTXbyOP via @DrOz	0	0	0	1	 
57182258d3d9353ec3529a27	"Interesting information on #ZikaVirus (and other viruses, too). https://t.co/ZtSRhlPVe6"	0	0	0	0	 
57182900d3d9353ec3529c3c	@rupasubramanya @maidros78 Pretty sure Zika virus hit their balls. All BJP leaders have tiny saffron balls. They just cant play offence!	1	0	0	0	 
57182d4ad3d9353ec3529dc5	#SaveTheEarthIn4Words Can Not Be Done. Not with human pro own species breeding politics. Mother Earth fights back with Zika.	0	1	0	0	 
57181f60d3d9353ec3529838	"Yay, go Sen. @ChrisMurphyCT! Always had a feeling he would be a global health champion. https://t.co/FG9jv0ixNZ"	0	0	0	0	 
57182dd1d3d9353ec3529e14	Vexame (shame) https://t.co/IsnRAOqxfa	0	0	0	0	 
571828e4d3d9353ec3529c31	Zika Virus has probably the coolest name of all viruses.	0	0	1	0	 
571818afd3d9353ec35295aa	Zika virus is not just found in heterogeneous couples. Now found in gay couples. We are all equal #fresheyes https://t.co/ONDs7llI7Z	0	0	0	1	 
57181c04d3d9353ec35296d1	#zika Bern Dealy:	0	0	0	0	 
57182d8fd3d9353ec3529deb	"@last_buffoon #Zika is already spreading in Mexico, next to Texas. 'Christian' hospitals devised rapid Zika test for OWN use only RIP, Texas"	0	0	0	1	 
571824ded3d9353ec3529ae5	#mosquito #health DREAMMA Elegant White Round Bed Canopy Net Mosquito Repeller Gauze Prince... https://t.co/hsUE9tUO9a #zika #news #virus	0	0	0	0	 
57182f4cd3d9353ec3529ea5	Zika virus: Officials warn zika outbreak likely in US this summer https://t.co/ZAZPUgd0SF	0	0	0	1	 
571833b1d3d9353ec352a030	"It's the Zika's moment, yes. But at the other side: One Known Ebola Case Left in Guinea https://t.co/mo9QdCOor1 vía @allafrica"	0	0	1	0	 
57181b8cd3d9353ec352969c	"J R Coll Physicians Edinb: #Zika virus, emergencies, uncertainty and vulnerable populations https://t.co/LmPRkm2AL3 https://t.co/DA8pR3Bb1F"	0	0	0	0	 
57181f9ad3d9353ec352985b	"Leave Adam Scott alone. Maybe he doesn't want to get shot, or zika. Or maybe he's just not into the whole nationalist bullshit."	0	0	0	0	 
57183399d3d9353ec352a018	Zika threat prompts city to amp up mosquito control law... https://t.co/9xUlYAm7NA https://t.co/FR2nU4AHxL	0	0	0	1	 
57182638d3d9353ec3529b58	More likely #Zika-carrying humans coming home from tropical holidays: https://t.co/sKPwXReVHD	0	1	0	0	 
57182067d3d9353ec3529979	Definitely not good. #Zika could be largest health threat since the Plague.... https://t.co/KDLGlZ5M54	0	0	0	1	 
57181eefd3d9353ec3529806	"""Senators Consider Funding Plan to Address Zika Threat"" by EMMARIE HUETTEMAN via NYT https://t.co/fuC7L5J6B0"	0	0	0	0	 
57181d44d3d9353ec3529768	"If #Zika is as bad as bad as they're making it out to be, why not use DDT to fight the swarms of mosquitoes?"	0	0	1	0	 
57181b3fd3d9353ec3529680	"Sources: Zika virus clouds Pirates-Marlins series in Puerto Rico. Players fear exposure, MLB continuing to monitor: https://t.co/xFXXQ0fX7z"	0	0	0	1	 
57181d0cd3d9353ec3529745	"@RealGDT we may have a mimic IRL here soon,messing with nature is never good . https://t.co/B6v3hHJbk1"	0	0	0	1	 
571835add3d9353ec352a0e0	"@BBCSport I think this has the potential to be a disaster. Social unrest, Zika virus &amp; Countries missing due to doping. Very sad"	0	0	0	1	 
571819a0d3d9353ec35295eb	Tell+Congress+to+Approve+Emergency+Funding+for+Zika! https://t.co/o6twlG2BRe	0	0	0	1	 
571829fad3d9353ec3529c78	@ErenMckay what's happening now down there with zika?	0	0	0	0	 
57182c60d3d9353ec3529d4c	@nickyromero @TMLBrasil Avoid #Zika	0	0	0	1	 
57182d93d3d9353ec3529df0	Anti-Zika maternity wear to protect mums and babies https://t.co/3SSvDaXURK	0	0	1	0	 
57182960d3d9353ec3529c53	@CathySullPA @astronglady reading your series this is particularly worrisome. #Oxitec makes 3/1000 seem insignificant. It's not. #zika	0	0	0	1	 
571829add3d9353ec3529c66	Alexander the Ugly died from Zika Virus in 500 BC.	0	1	0	0	 
57181c8bd3d9353ec3529709	PRI Review Podcast April 20 2016 - Chile in the Crosshairs; Zika a Craven Excuse for Abortion Pushers; News Rou... https://t.co/s4DWb7PAqb	0	1	1	0	 
571835b5d3d9353ec352a0e6	From Ebola To Zika: hear our top experts at #cheltscifest https://t.co/T9oRq57Bdb #globalhealth #epidemic #infectiousdisease	0	0	0	0	 
57181801d3d9353ec352957c	"#BBCLive More than two billion people live in parts of the world where the Zika virus can spread, maps publish... https://t.co/gNP28TIwIQ"	0	0	0	0	 
57182715d3d9353ec3529ba0	"Simplest explanation with Adam Scott: Dude wants to have more kids, doesn't want the zika virus."	0	0	0	0	 
57181861d3d9353ec3529596	Bug Spray Bound for Haiti to Fight Zika Virus Turned Away at MSP - https://t.co/wZYROYlWGe https://t.co/YeXk1a3Zjr	0	0	0	0	 
57182543d3d9353ec3529b04	@AudiByrneHaema thats the worst part when Zika appears we thought that it could be a good thing because it doesnt kill like Dengue But ...	0	0	0	1	 
57181c04d3d9353ec35296d2	"Usually I like it when my Twitter timelines/interests cross paths, but not baseball + zika :( https://t.co/4MmPrTC3Ch"	0	0	0	0	 
57181a20d3d9353ec3529613	"@CancerTruthNews forced chemo Splenda Leukemia @HealthRanger v Orac, #cannabis ladies #Zika scam @JonRappoport live! https://t.co/TlagBqDJIx"	0	0	0	0	 
57182c70d3d9353ec3529d56	#WellLetMeTellYouPal your mom gets passed around like the Zika Virus. https://t.co/NDPfe92Q4M	1	0	0	0	 
57182a05d3d9353ec3529c7a	"2:20 The Zika virus, explained https://t.co/TGzPEo4rgS via @YouTube"	0	0	0	0	 
571818b8d3d9353ec35295ad	Innovative and informative. Good idea. https://t.co/VdfynVaNnZ	0	0	0	0	 
571826afd3d9353ec3529b7e	Could #Zika funding be in the works? https://t.co/ej5g5XH02U	0	0	0	0	 
57183399d3d9353ec352a017	"@takhsiru well with Zika, I sure hope they get the ROI they want."	0	0	0	0	 
57182d3ad3d9353ec3529db7	#Zika News: Zika virus has wider implications for families https://t.co/Ww50y9OHMN #PathogenPosse	0	0	0	1	 
57183556d3d9353ec352a0ba	Thanks to #openborders policy for giving us #Zika! This'll be a boon for big pharma and #Obamacare	1	0	0	0	 
5718327dd3d9353ec3529f92	"The Weekly Health Quiz: Preventing Blisters, Arthritis in Women and Zika - The New York Times https://t.co/6WloI1oC63"	0	0	0	0	 
571826ead3d9353ec3529b97	@GovMattBevin cut higher education and trying to shut down abortion clinic. Uneducated and Brain damaged governor https://t.co/JfFTjB7wc5	0	0	0	0	 
57182134d3d9353ec35299c9	"ahahaha Murph just cut loose with some staggering stat on the Zika virus in Puerto Rico and T-Mac said ""wow"" like he just saw a nice slider"	1	0	0	0	 
57181a27d3d9353ec3529617	Hugely impt #publichealth and #women's issue: #Zika: Conservative Politics Meets The Reality Of Sex https://t.co/pcZLRrVsA9 @AliceDreger	0	0	0	1	 
57182664d3d9353ec3529b6c	Explainer: what autoimmune disorder is newly linked to Zika? https://t.co/3nwBAG9ujv	0	0	0	0	 
